Timestamp,Tweet,username,hashtags,followers_count
2020-06-16 20:05:37,b'RT @ICC: Guess the stadium \xf0\x9f\xa7\x90\n\n\xf0\x9f\x92\xa1 Hint: A #CWC19 venue! https://t.co/XuFdnLi21v',b'98ef302ac19048a',['CWC19'],38
2020-06-16 20:02:16,b'RT @mipaltan: #OnThisDay at #CWC19 | @ImRo45\xe2\x80\x99s sublime 140 helped \xf0\x9f\x87\xae\xf0\x9f\x87\xb3 make it 7-0 against \xf0\x9f\x87\xb5\xf0\x9f\x87\xb0 in 50-over @cricketworldcup \xf0\x9f\x91\x8c\n\n#OneFamily @BCCI\xe2\x80\xa6',b'AnkitYa19982227',"['OnThisDay', 'CWC19', 'OneFamily']",13
2020-06-16 20:00:38,b'RT @MrFahadKhan: This guy is a Gem \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\n\n#IndiaVsPakistan #CWC19 #CongratulationsIndia https://t.co/oLYEEeskZO',b'biryaanikhilado',"['IndiaVsPakistan', 'CWC19', 'CongratulationsIndia']",293
2020-06-16 19:51:44,b'RT @ICC: Guess the stadium \xf0\x9f\xa7\x90\n\n\xf0\x9f\x92\xa1 Hint: A #CWC19 venue! https://t.co/XuFdnLi21v',b'kanak_sadekul',['CWC19'],22
2020-06-16 19:47:18,b'RT @ICC: Guess the stadium \xf0\x9f\xa7\x90\n\n\xf0\x9f\x92\xa1 Hint: A #CWC19 venue! https://t.co/XuFdnLi21v',b'Sanjaypanda9',['CWC19'],61
2020-06-16 19:46:26,b'RT @mipaltan: #OnThisDay at #CWC19 | @ImRo45\xe2\x80\x99s sublime 140 helped \xf0\x9f\x87\xae\xf0\x9f\x87\xb3 make it 7-0 against \xf0\x9f\x87\xb5\xf0\x9f\x87\xb0 in 50-over @cricketworldcup \xf0\x9f\x91\x8c\n\n#OneFamily @BCCI\xe2\x80\xa6',b'Gautham81484734',"['OnThisDay', 'CWC19', 'OneFamily']",19
2020-06-16 19:44:20,b'RT @ICC: Guess the stadium \xf0\x9f\xa7\x90\n\n\xf0\x9f\x92\xa1 Hint: A #CWC19 venue! https://t.co/XuFdnLi21v',b'RakshithBJ2',['CWC19'],492
2020-06-16 19:42:56,b'RT @FanaticsOfMI: On This Day at #CWC19 | Rohit Sharma scored a brilliant 113 ball 140 against Pakistan. Was expecting a 200 for this match\xe2\x80\xa6',b'ranalucky2468',['CWC19'],1
2020-06-16 19:40:58,b'RT @BDCricTime: Shoaib Akther urges to learn from Bangladesh. Remember that tweet? #CWC19 https://t.co/83MYwRe28w',b'AHMADkbb2011',['CWC19'],137
2020-06-16 19:40:29,b'RT @ICC: Guess the stadium \xf0\x9f\xa7\x90\n\n\xf0\x9f\x92\xa1 Hint: A #CWC19 venue! https://t.co/XuFdnLi21v',b'imgazal',['CWC19'],18
2020-06-16 19:40:06,b'RT @ICC: Guess the stadium \xf0\x9f\xa7\x90\n\n\xf0\x9f\x92\xa1 Hint: A #CWC19 venue! https://t.co/XuFdnLi21v',b'mumaralid',['CWC19'],467
2020-06-16 19:30:23,b'Remember this match. What a outstanding match it is! Bangladesh chess 322 runs. Shakib-Liton partnership was amazin\xe2\x80\xa6 https://t.co/6hsFjvI9RJ',b'khirul_bin',[],601
2020-06-16 19:28:00,b'High praise for @BLACKCAPS from @ECB_cricket coach Graham Thorpe. #CWC19 #TopOrderInterviews\nFull episode at the li\xe2\x80\xa6 https://t.co/4aAWVX9ZSj',b'Toporderpod',"['CWC19', 'TopOrderInterviews']",163
2020-06-16 19:27:54,b'RT @ICC: Guess the stadium \xf0\x9f\xa7\x90\n\n\xf0\x9f\x92\xa1 Hint: A #CWC19 venue! https://t.co/XuFdnLi21v',b'prathyush9676',['CWC19'],160
2020-06-16 19:26:52,b'RT @thebharatarmy: \xf0\x9f\x87\xae\xf0\x9f\x87\xb3 #CWC19Rewind : Some sensational power-hitting from the boys helps them post a mammoth total in the first innings. Com\xe2\x80\xa6',b'pnishant28',['CWC19Rewind'],44
2020-06-16 19:24:24,b'RT @ICC: Guess the stadium \xf0\x9f\xa7\x90\n\n\xf0\x9f\x92\xa1 Hint: A #CWC19 venue! https://t.co/XuFdnLi21v',b'SuyashPachauri',['CWC19'],167
2020-06-16 19:21:04,b'RT @ICC: Guess the stadium \xf0\x9f\xa7\x90\n\n\xf0\x9f\x92\xa1 Hint: A #CWC19 venue! https://t.co/XuFdnLi21v',b'MNIRANJANPATRA2',['CWC19'],15
2020-06-16 19:20:24,"b""RT @ICC: #DidYouKnow Australia quick Mitchell Starc holds the record for taking most wickets at a single ICC Men's @cricketworldcup \xf0\x9f\x99\x8c \n\nHe\xe2\x80\xa6""",b'vjjadeja88',['DidYouKnow'],157
2020-06-16 19:17:15,b'RT @ICC: Guess the stadium \xf0\x9f\xa7\x90\n\n\xf0\x9f\x92\xa1 Hint: A #CWC19 venue! https://t.co/XuFdnLi21v',b'rohitskrasigan',['CWC19'],236
2020-06-16 19:13:00,b'RT @ICC: Guess the stadium \xf0\x9f\xa7\x90\n\n\xf0\x9f\x92\xa1 Hint: A #CWC19 venue! https://t.co/XuFdnLi21v',b'himashatw',['CWC19'],36
2020-06-16 19:08:35,b'RT @ICC: Guess the stadium \xf0\x9f\xa7\x90\n\n\xf0\x9f\x92\xa1 Hint: A #CWC19 venue! https://t.co/XuFdnLi21v',b'VasGiri',['CWC19'],21
2020-06-16 19:08:28,b'RT @ICC: Guess the stadium \xf0\x9f\xa7\x90\n\n\xf0\x9f\x92\xa1 Hint: A #CWC19 venue! https://t.co/XuFdnLi21v',b'Shathis65899582',['CWC19'],28
2020-06-16 19:07:48,b'RT @StarSportsIndia: #Throwback to 7\xe2\x83\xa3th heaven at the ICC #CWC19 after another #INDvPAK victory!\n\nWhat was your favourite moment of the mat\xe2\x80\xa6',b'DiscipleOfStar',"['Throwback', 'CWC19', 'INDvPAK']",1636
2020-06-16 19:06:31,b'Shoaib Akther urges to learn from Bangladesh. Remember that tweet? #CWC19 https://t.co/83MYwRe28w',b'BDCricTime',['CWC19'],158781
2020-06-16 19:04:57,b'RT @StarSportsIndia: #Throwback to 7\xe2\x83\xa3th heaven at the ICC #CWC19 after another #INDvPAK victory!\n\nWhat was your favourite moment of the mat\xe2\x80\xa6',b'Iyyappa28889234',"['Throwback', 'CWC19', 'INDvPAK']",330
2020-06-16 19:02:13,b'RT @ICC: Guess the stadium \xf0\x9f\xa7\x90\n\n\xf0\x9f\x92\xa1 Hint: A #CWC19 venue! https://t.co/XuFdnLi21v',b'Lyndsey99513807',['CWC19'],37
2020-06-16 19:01:30,b'RT @ICC: Guess the stadium \xf0\x9f\xa7\x90\n\n\xf0\x9f\x92\xa1 Hint: A #CWC19 venue! https://t.co/XuFdnLi21v',b'Kasiraj08',['CWC19'],259
2020-06-16 19:01:23,b'RT @mipaltan: #OnThisDay at #CWC19 | @ImRo45\xe2\x80\x99s sublime 140 helped \xf0\x9f\x87\xae\xf0\x9f\x87\xb3 make it 7-0 against \xf0\x9f\x87\xb5\xf0\x9f\x87\xb0 in 50-over @cricketworldcup \xf0\x9f\x91\x8c\n\n#OneFamily @BCCI\xe2\x80\xa6',b'Vikram_Thala25',"['OnThisDay', 'CWC19', 'OneFamily']",271
2020-06-16 19:00:30,b'RT @ICC: Guess the stadium \xf0\x9f\xa7\x90\n\n\xf0\x9f\x92\xa1 Hint: A #CWC19 venue! https://t.co/XuFdnLi21v',b'BarandedR',['CWC19'],29
2020-06-16 19:00:17,b'RT @ICC: Guess the stadium \xf0\x9f\xa7\x90\n\n\xf0\x9f\x92\xa1 Hint: A #CWC19 venue! https://t.co/XuFdnLi21v',b'ashiq_bnaya',['CWC19'],957
2020-06-16 18:58:00,b'RT @ICC: Guess the stadium \xf0\x9f\xa7\x90\n\n\xf0\x9f\x92\xa1 Hint: A #CWC19 venue! https://t.co/XuFdnLi21v',b'MAHESHB50811725',['CWC19'],72
